product_id,main_category,review_title,review_content,sentiment_score,sentiment_label
B07JW9H4J1,Computers&Accessories,Satisfied,Looks durable Charging is fine tooNo complains,0.4583,Positif
B07JW9H4J1,Computers&Accessories,Charging is really fast,Charging is really fast,0.2,Positif
B07JW9H4J1,Computers&Accessories,Value for money,good product.,0.7,Positif
B07JW9H4J1,Computers&Accessories,Product review,Till now satisfied with the quality.,0.5,Positif
B07JW9H4J1,Computers&Accessories,Good quality,This is a good product . The charging speed is slower than the original iPhone cable,0.5917,Positif
B07JW9H4J1,Computers&Accessories,Good product,Good quality,0.7,Positif
B07JW9H4J1,Computers&Accessories,Good Product,would recommend,0.7,Positif
B07JW9H4J1,Computers&Accessories,As of now seems good,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81---F1ZgHL._SY88.jpg,0.7,Positif
B07JW9H4J1,Computers&Accessories,,Product had worked well till date and was having no issue.Cable is also sturdy enough...Have asked for replacement and company is doing the same...,0.0,Neutre
B07JW9H4J1,Computers&Accessories,,Value for money,0.0,Neutre
B098NS6PVG,Computers&Accessories,A Good Braided Cable for Your Type C Device,I ordered this cable to connect my phone to Android Auto of car. The cable is really strong and the connection ports are really well made. I already has a Micro USB cable from Ambrane and it's still in good shape. I connected my phone to the car using the cable and it got connected well and no issues. I also connected it to the charging port and yes it has Fast Charging support.,0.4467,Positif
B098NS6PVG,Computers&Accessories,Good quality product from ambrane,It quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging,0.4452,Positif
B098NS6PVG,Computers&Accessories,Super cable,Value for money,0.3333,Positif
B098NS6PVG,Computers&Accessories,As,with extra length👍,0.0,Neutre
B098NS6PVG,Computers&Accessories,Good quality,Good,0.7,Positif
B098NS6PVG,Computers&Accessories,Good product,working fine,0.5583,Positif
B098NS6PVG,Computers&Accessories,its good,Product quality is good,0.7,Positif
B098NS6PVG,Computers&Accessories,Good quality for the price but one issue with my unit,Good,0.7,Positif
B098NS6PVG,Computers&Accessories,,very good,0.91,Positif
B098NS6PVG,Computers&Accessories,,Bought for my daughter's old phone.Brand new cable it was not charging,0.1182,Positif
B098NS6PVG,Computers&Accessories,,I already repacked and requested for replacement.I checked again,0.0,Neutre
B098NS6PVG,Computers&Accessories,,and there was some green colour paste/fungus inside the micro USB connector. I cleaned with an alcoholic and starts working again.Checked the ampere of charging speed got around 1400ma-1500ma - not bad,-0.0333,Neutre
B098NS6PVG,Computers&Accessories,,came with braided 1.5m long cable,-0.05,Neutre
B098NS6PVG,Computers&Accessories,,pretty impressive for the price.Can't blame the manufacturer.But quality issues by the distributor,0.625,Positif
B098NS6PVG,Computers&Accessories,,they might have stored in very humid place.,0.2,Positif
B096MSW6CT,Computers&Accessories,Good speed for earlier versions,Not quite durable and sturdy,0.35,Positif
